,precision,recall,f1-score,support
0,0.8879101094696908,0.8528285573122529,0.8700158296384385,259072.0
1,0.8586027614227181,0.893127939169708,0.8755251188045636,279203.0
2,0.7408719377285597,0.7279946831279429,0.734376864293628,88774.0
3,0.8623893407630432,0.8677707438390233,0.8650716732780382,88460.0
accuracy,0.8549130758662714,0.8549130758662714,0.8549130758662714,0.8549130758662714
macro avg,0.837443537346003,0.8354304808622318,0.836247371503667,715509.0
weighted avg,0.8550755352648993,0.8549130758662714,0.8547255069197702,715509.0
